"675452, ROSEWOOD REHABILITATION AND CARE CENTER, 7700 MESQUITE PASS, CONVERSE TX, 78109"
"675434, SILVER PINES NURSING AND REHABILITATION LP, 503 OLD AUSTIN HIGHWAY, BASTROP TX, 78602"
"675481, RIVERWOOD HEALTHCARE, 600 BACON ST, MADISONVILLE TX, 77864"
"675445, OAK MANOR NURSING CENTER, 624 N CONVERSE ST, FLATONIA TX, 78941"
"675513, DECATUR NURSING AND REHABILITATION LP, 605 W MULBERRY, DECATUR TX, 76234"
"675445, OAK MANOR NURSING CENTER, 624 N CONVERSE ST, FLATONIA TX, 78941"
"675468, HICO NURSING AND REHABILITATION, 712 RAILROAD AVE, HICO TX, 76457"
"675460, PARK HIGHLANDS NURSING & REHABILITATION CENTER, 711 LUCAS ST, ATHENS TX, 75751"
"675447, THE HIGHLANDS OF DALLAS, 9009 FOREST LN, DALLAS TX, 75243"
"675481, RIVERWOOD HEALTHCARE, 600 BACON ST, MADISONVILLE TX, 77864"
"675475, RETAMA MANOR NURSING CENTER/RAYMONDVILLE, 1700 S EXPRESSWAY 77, RAYMONDVILLE TX, 78580"
"675503, BEACON HILL, 3515 S PARK AVE, DENISON TX, 75020"
"675485, LOCKNEY HEALTH AND REHABILITATION CENTER, 401 N MAIN ST, LOCKNEY TX, 79241"
"675501, HERITAGE OAKS WEST RETIREMENT VILLAGE, 3300 W 2ND AVE, CORSICANA TX, 75110"
"675439, MULLICAN CARE CENTER, 105 N MAIN ST, SAVOY TX, 75479"
"675487, CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI, 2606 HOSPITAL BVLD, CORPUS CHRISTI TX, 78405"
"675415, LAS PALMAS HEALTHCARE CENTER, 1301 E QUEBEC AVE, MCALLEN TX, 78503"
"675487, CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI, 2606 HOSPITAL BVLD, CORPUS CHRISTI TX, 78405"
"675494, KLEBERG COUNTY NURSING AND REHABILITATION LP, 316 GENERAL CAVAZOS BLVD, KINGSVILLE TX, 78363"
"675432, REGENT CARE CENTER OF SAN ANTONIO, 16400 BLANCO RD, SAN ANTONIO TX, 78232"
"675441, RENAISSANCE CARE CENTER, 1400 BLACKSHILL DR, GAINESVILLE TX, 76240"
"675503, BEACON HILL, 3515 S PARK AVE, DENISON TX, 75020"
"675497, COURTYARD GARDENS, 1501 7TH ST, WICHITA FALLS TX, 76301"
"675415, LAS PALMAS HEALTHCARE CENTER, 1301 E QUEBEC AVE, MCALLEN TX, 78503"
"675438, LAKE SHORE VILLAGE HEALTHCARE CENTER, 2320 LAKE SHORE DR, WACO TX, 76708"
"675485, LOCKNEY HEALTH AND REHABILITATION CENTER, 401 N MAIN ST, LOCKNEY TX, 79241"
"675424, GREEN OAKS REHAB & NURSING, 500 VALLE VISTA DR, ATHENS TX, 75751"
"675414, RETAMA MANOR NURSING CENTER/EDINBURG, 1505 S CLOSNER, EDINBURG TX, 78539"
"675489, DEVINE HEALTH & REHABILITATION, 104 ENTERPRISE AVE, DEVINE TX, 78016"
"675518, THE HILLTOP ON MAIN, 1015 N MAIN, MERIDIAN TX, 76665"
"675441, RENAISSANCE CARE CENTER, 1400 BLACKSHILL DR, GAINESVILLE TX, 76240"
"675481, RIVERWOOD HEALTHCARE, 600 BACON ST, MADISONVILLE TX, 77864"
"675439, MULLICAN CARE CENTER, 105 N MAIN ST, SAVOY TX, 75479"
"675439, MULLICAN CARE CENTER, 105 N MAIN ST, SAVOY TX, 75479"
"675443, PRAIRIE ACRES, 201 E 15TH, FRIONA TX, 79035"
"675555, QUENTIN MEASE COMMUNITY HOSPITAL, 3601 N MACGREGOR, HOUSTON TX, 77004"
"675485, LOCKNEY HEALTH AND REHABILITATION CENTER, 401 N MAIN ST, LOCKNEY TX, 79241"
"675506, ALPINE TERRACE, 746 ALPINE DR, KERRVILLE TX, 78028"
"675587, REGENCY MANOR HEALTHCARE CENTER, 3011 W ADAMS AVE, TEMPLE TX, 76504"
"675434, SILVER PINES NURSING AND REHABILITATION LP, 503 OLD AUSTIN HIGHWAY, BASTROP TX, 78602"
