"675681, BRONTE HEALTH AND REHAB CENTER, 900 S STATE ST, BRONTE TX, 76933"
"675654, BROOKDALE GUADALUPE RIVER PLAZA, 808 GUADALUPE, KERRVILLE TX, 78028"
"675766, THE COURTYARD REHABILITATION AND HEALTHCARE CENTER, 3401 E AIRLINE DR, VICTORIA TX, 77901"
"675646, SNYDER OAKS CARE CENTER, 210 E 37TH ST, SNYDER TX, 79549"
"675701, LAWRENCE STREET HEALTH CARE CENTER, 615 LAWRENCE ST, TOMBALL TX, 77375"
"675654, BROOKDALE GUADALUPE RIVER PLAZA, 808 GUADALUPE, KERRVILLE TX, 78028"
"675646, SNYDER OAKS CARE CENTER, 210 E 37TH ST, SNYDER TX, 79549"
"675641, NESBIT LIVING & RECOVERY CENTER, 1215 ASHBY, SEGUIN TX, 78155"
"675736, YOAKUM NURSING AND REHABILITATION CENTER, 1300 CARL RAMERT DR, YOAKUM TX, 77995"
"675641, NESBIT LIVING & RECOVERY CENTER, 1215 ASHBY, SEGUIN TX, 78155"
"675746, CORONADO NURSING CENTER, 1751 N 15TH ST, ABILENE TX, 79603"
"675638, TWIN PINES NURSING AND REHABILITATION, 3301 E. MOCKINGBIRD LANE, VICTORIA TX, 77904"
"675678, CARECHOICE OF BOERNE, 200 E RYAN ST, BOERNE TX, 78006"
"675723, NAZARETH LIVING CARE CENTER, 1475 RAYNOLDS ST, EL PASO TX, 79903"
"675743, OCEANVIEW HEALTHCARE AND REHABILITATION, 519 NINTH AVE N, TEXAS CITY TX, 77590"
"675746, CORONADO NURSING CENTER, 1751 N 15TH ST, ABILENE TX, 79603"
"675701, LAWRENCE STREET HEALTH CARE CENTER, 615 LAWRENCE ST, TOMBALL TX, 77375"
"675706, BRENHAM REST HOME, 406 COTTONWOOD ST, BRENHAM TX, 77833"
"675691, HUNTSVILLE HEALTH CARE CENTER, 2628 MILAM, HUNTSVILLE TX, 77340"
"675654, BROOKDALE GUADALUPE RIVER PLAZA, 808 GUADALUPE, KERRVILLE TX, 78028"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675706, BRENHAM REST HOME, 406 COTTONWOOD ST, BRENHAM TX, 77833"
