"676226, REGENT CARE CENTER OF SAN MARCOS, 1351 SADLER, SAN MARCOS TX, 78666"
"676198, QUERENCIA AT BARTON CREEK, 2500 BARTON CREEK BLVD, AUSTIN TX, 78735"
"676225, MITCHELL COUNTY NURSING AND REHABILITATION CENTER, 1941 CHESTNUT ST, COLORADO CITY TX, 79512"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676210, SUMMER PLACE NURSING & REHABILITATION, 2485 S MAJOR DR, BEAUMONT TX, 77707"
"676214, FALCON LAKE NURSING HOME, 200 CARLA ST, ZAPATA TX, 78076"
"676223, BAYOU PINES CARE CENTER, 4905 FLEMING STREET, LA MARQUE TX, 77568"
"676228, KENDALL HOUSE WELLNESS & REHABILITATION, 1050 GRAND BLVD., BOERNE TX, 78006"
"676243, POWERBACK REHABILITATION RICHARDSON, 1350 E LOOKOUT DR, RICHARDSON TX, 75082"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676237, THE BELMONT AT TWIN CREEKS, 999 RAINTREE CIRCLE, ALLEN TX, 75013"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676240, CIBOLO CREEK, 1440 RIVER RD, BOERNE TX, 78006"
"676242, GANADO NURSING AND REHABILITATION CENTER, 107 E ROGERS, GANADO TX, 77962"
"676222, BASTROP LOST PINES NURSING AND REHABILITATION CENT, 430 OLD AUSTIN HWY, BASTROP TX, 78602"
"676202, PARK VALLEY INN HEALTH CENTER, 17751 PARK VALLEY DR, ROUND ROCK TX, 78681"
"676245, PFLUGERVILLE NURSING AND REHABILITATION CENTER, 104 REX KERWIN COURT, PFLUGERVILLE TX, 78660"
"676242, GANADO NURSING AND REHABILITATION CENTER, 107 E ROGERS, GANADO TX, 77962"
"676237, THE BELMONT AT TWIN CREEKS, 999 RAINTREE CIRCLE, ALLEN TX, 75013"
"676193, THE WATERTON HEALTHCARE & REHABILITATION, 2875 SHILOH ROAD, TYLER TX, 75703"
"676191, SUNDANCE INN HEALTH CENTER, 2034 SUNDANCE PKWY, NEW BRAUNFELS TX, 78130"
"676237, THE BELMONT AT TWIN CREEKS, 999 RAINTREE CIRCLE, ALLEN TX, 75013"
"676190, STILLHOUSE REHABILITATION AND HEALTHCARE CENTER, 2900 STILLHOUSE ROAD, PARIS TX, 75462"
"676236, BROOKDALE PLACE WILLOWBROOK, 13500 BRETON RIDGE, HOUSTON TX, 77070"
"676193, THE WATERTON HEALTHCARE & REHABILITATION, 2875 SHILOH ROAD, TYLER TX, 75703"
"676229, TRUCARE LIVING CENTERS-COLUMBUS, 1511 MONTEZUMA STREET, COLUMBUS TX, 78934"
"676214, FALCON LAKE NURSING HOME, 200 CARLA ST, ZAPATA TX, 78076"
"676211, WESLEY WOODS HEALTH & REHABILITATION, 1700 WOODGATE DRIVE, WACO TX, 76712"
